area,id,year,text,average,argentina,australia,brazil,canada,china,france,germany,india,indonesia,italy,japan,korea,mexico,russia,saudi.arabia,south.africa,turkey,united.kingdom,united.states,european.union
Macroeconomic Policy,2008W-4 ,2008,"[As immediate steps to achieve these objectives, as well as to address longer-term challenges, we will:] Use fiscal measures to stimulate domestic demand to rapid effect, as appropriate, while maintaining a policy framework conducive to fiscal sustainability.",0.75,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1
Macroeconomic Policy,2009L-19 ,2009,We are resolved to ensure long-term fiscal sustainability and price stability and will put in place credible exit strategies from the measures that need to be taken now to support the financial sector and restore global demand,0.35,0,1,0,1,0,0,1,-1,0,0,0,0,0,1,1,1,1,1,0,0
Macroeconomic Policy,2009P-117,2009,"[We will:] promote more balanced current accounts and support open trade and investment to advance global prosperity and growth sustainability, while actively rejecting protectionist measures.",0.7,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
Macroeconomic Policy,2010T-6 ,2010,Advanced economies have committed to fiscal plans that will at least halve deficits by 2013 and stabilize or reduce government debt-to-GDP ratios by 2016.,0.777777778,,1,,1,,0,1,,,1,1,1,,,,,,1,0,
Macroeconomic Policy,2010T-16 ,2010,Advanced deficit countries should take actions to boost national savings while maintaining open markets and enhancing export competitiveness.,0.833333333,,1,,1,,1,,,,1,,,,,,,,1,0,
Macroeconomic Policy,2010T-17 ,2010,Surplus economies will undertake reforms to reduce their reliance on the external demand and focus more on domestic sources of growth.,0.625,1,,,,1,,0,,0,,1,1,,1,0,,,,,
Macroeconomic Policy,2010S-40 ,2010,We will move toward more market-determined exchange rate systems and enhance exchange rate flexibility to reflect underlying economic fundamentals and refrain from competitive devaluation of currencies.,0.3,0,1,-1,1,0,1,1,1,0,1,-1,1,-1,1,0,0,0,0,0,1
Macroeconomic Policy,2010S-48 ,2010,"Advanced economies will formulate and implement clear, credible, ambitious and growth-friendly medium-term fiscal consolidation plans in line with the Toronto commitment, differentiated according to national circumstances.",0.9,,1,,1,,1,1,,,1,1,,1,,,,,1,0,1
Macroeconomic Policy,2010S-61 ,2010,"[We will implement a range of structural reforms to boost and sustain global demand, foster job creation, contribute to global rebalancing, and increase our growth potential, and where needed undertake:] Investment in infrastructure to address bottlenecks and enhance growth potential. ",0.9,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Macroeconomic Policy,2011C-16,2011,"[We affirm our commitment to move more rapidly to] enhance exchange rate flexibility to reflect underlying economic fundamentals, avoid persistent exchange rate misalignments and refrain from competitive devaluation of currencies.",0.5,0,1,-1,1,1,1,1,0,0,1,-1,0,1,1,0,1,0,1,1,1
Macroeconomic Policy,2011C-78,2011,"[Advanced countries, taking into account different national circumstances, will adopt policies to] implement clear, credible and specific measures to achieve fiscal consolidation, including as set out in the country specific commitments below",0.111111111,,1,,1,,-1,1,,,-1,-1,0,,,,,,1,0,
Macroeconomic Policy,2011C-91,2011,Emerging market economies commit to adopting macroeconomic policies to enhance the resilience of their economies,0.7,1,,1,,1,,,1,1,,,,1,1,0,-1,1,,,
Macroeconomic Policy,2012LC-29 ,2012,"We reaffirm our commitment to move more rapidly toward market-determined exchange rate systems and exchange rate flexibility to reflect underlying fundamentals, avoid persistent exchange rate misalignments, and refrain from competitive devaluation of currencies.",0.45,-1,1,-1,1,0,1,1,0,1,1,-1,0,1,1,0,1,0,1,1,1
Macroeconomic Policy,2012LC-18 ,2012,"Advanced economies will ensure that the pace of fiscal consolidation is appropriate to support the recovery, taking country-specific circumstances into account and, in line with the Toronto commitments, address concerns about medium term fiscal sustainability",0.5,,1,,1,,-1,1,,,-1,1,1,,,,,,1,0,1
Macroeconomic Policy,2012LC-177 ,2012,"Emerging market members will also promote a range of reforms to promote development, including improving the investment climate and enhancing infrastructure investment.",0.8,0,,1,,1,,,1,1,,,,1,1,1,1,0,,,
Macroeconomic Policy,2012LC-47 ,2012,"Recognizing the importance of investment for boosting economic growth, we commit to maintaining a supportive business environment for investors. ",0.95,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Macroeconomic Policy,2013-88,2013,We [recognize the paramount importance of the investment climate in attracting long-term financing and] will take a comprehensive approach to identifying and addressing impediments to improving underlying investment conditions. ,0.85,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
