"area","id","year","code","text","average","country","score","summit.date","host","min.number","min.closest","min.before","min.after","min.any","min.closest.overall","total","commitments","commitments2","binding.level","summit.ref","org.ref","mentions.date","mentions.multi.year","mentions.money","p5","g7","brics","oecd","imf_economy","is.host","host.us","host.uk","host.canada","host.korea","host.france","host.mexico","host.russia","host.australia","host.turkey","host.china","host.germany","host.argentina","host.japan","host.saudi","host.italy","gdp.per.cap","gdp.per.cap.lag","gdp.growth","gdp.growth.lag","is.argentina","is.australia","is.brazil","is.canada","is.china","is.france","is.germany","is.india","is.indonesia","is.italy","is.japan","is.korea","is.mexico","is.russia","is.saudi","is.safrica","is.turkey","is.uk","is.us","is.eu","is.climate","is.crime","is.dev","is.energy","is.envi","is.finreg","is.food","is.gender","is.health","is.ict","is.ifi","is.infra","is.int","is.tax","is.labor","is.macro","is.migr","is.terror","is.trade","score_mod"
"Macroeconomic Policy","2008W-4 ",2008,"","[As immediate steps to achieve these objectives, as well as to address longer-term challenges, we will:] Use fiscal measures to stimulate domestic demand to rapid effect, as appropriate, while maintaining a policy framework conducive to fiscal sustainability.",0.75,"argentina","1","2008-11-14","us",2,6,1,0,1,6,508,6,36,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8977506851,8.977506851e-05,3.029785407,7.916210572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
"Macroeconomic Policy","2009L-19 ",2009,"L","We are resolved to ensure long-term fiscal sustainability and price stability and will put in place credible exit strategies from the measures that need to be taken now to support the financial sector and restore global demand",0.35,"argentina","0","2009-04-02","uk",3,19,1,1,1,19,508,15,225,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8184389889,8.184389889e-05,-6.867955225,3.029785407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"Macroeconomic Policy","2009P-117",2009,"P","[We will:] promote more balanced current accounts and support open trade and investment to advance global prosperity and growth sustainability, while actively rejecting protectionist measures.",0.7,"argentina","1","2009-04-02","us",3,19,1,1,1,19,508,28,784,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8184389889,8.184389889e-05,-6.867955225,3.029785407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
"Macroeconomic Policy","2010T-6 ",2010,"T","Advanced economies have committed to fiscal plans that will at least halve deficits by 2013 and stabilize or reduce government debt-to-GDP ratios by 2016.",0.777777778,"argentina",NA,"2010-06-26","canada",4,22,1,1,1,22,508,14,196,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.038596443,0.0001038596443,9.844296398,-6.867955225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"Macroeconomic Policy","2010T-16 ",2010,"T","Advanced deficit countries should take actions to boost national savings while maintaining open markets and enhancing export competitiveness.",0.833333333,"argentina",NA,"2010-06-26","canada",4,22,1,1,1,22,508,14,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.038596443,0.0001038596443,9.844296398,-6.867955225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"Macroeconomic Policy","2010T-17 ",2010,"T","Surplus economies will undertake reforms to reduce their reliance on the external demand and focus more on domestic sources of growth.",0.625,"argentina","1","2010-06-26","canada",4,22,1,1,1,22,508,14,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.038596443,0.0001038596443,9.844296398,-6.867955225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
"Macroeconomic Policy","2010S-40 ",2010,"S","We will move toward more market-determined exchange rate systems and enhance exchange rate flexibility to reflect underlying economic fundamentals and refrain from competitive devaluation of currencies.",0.3,"argentina","0","2010-11-11","korea",4,20,1,0,1,20,508,29,841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.038596443,0.0001038596443,9.844296398,-6.867955225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"Macroeconomic Policy","2010S-48 ",2010,"S","Advanced economies will formulate and implement clear, credible, ambitious and growth-friendly medium-term fiscal consolidation plans in line with the Toronto commitment, differentiated according to national circumstances.",0.9,"argentina",NA,"2010-11-11","korea",4,20,1,0,1,20,508,29,841,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.038596443,0.0001038596443,9.844296398,-6.867955225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"Macroeconomic Policy","2010S-61 ",2010,"S","[We will implement a range of structural reforms to boost and sustain global demand, foster job creation, contribute to global rebalancing, and increase our growth potential, and where needed undertake:] Investment in infrastructure to address bottlenecks and enhance growth potential. ",0.9,"argentina","1","2010-11-11","korea",4,20,1,0,1,20,508,29,841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.038596443,0.0001038596443,9.844296398,-6.867955225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"1"
"Macroeconomic Policy","2011C-16",2011,"","[We affirm our commitment to move more rapidly to] enhance exchange rate flexibility to reflect underlying economic fundamentals, avoid persistent exchange rate misalignments and refrain from competitive devaluation of currencies.",0.5,"argentina","0","2011-11-03","france",5,20,1,0,1,20,508,91,8281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.284874048,0.0001284874048,4.788683139,9.844296398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0"
"Macroeconomic Policy","2011C-78",2011,"","[Advanced countries, taking into account different national circumstances, will adopt policies to] implement clear, credible and specific measures to achieve fiscal consolidation, including as set out in the country specific commitments below",0.111111111,"argentina",NA,"2011-11-03","france",5,20,1,0,1,20,508,91,8281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.284874048,0.0001284874048,4.788683139,9.844296398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
