area,total,2008,2009-L,2009-P,2010-T,2010-S,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Macroeconomic Policy,491,6,15,28,14,29,91,71,65,34,21,31,40,21,9,9,7
Development,318,4,15,9,8,22,17,10,43,18,33,18,71,4,23,7,18
Financial Regulation,309,57,42,22,12,23,35,15,20,3,7,19,19,14,6,6,7
Trade,197,5,14,6,9,17,15,10,12,9,14,24,29,5,6,10,12
Energy,169,0,0,16,1,14,18,10,19,16,3,8,42,8,2,4,8
Labour and Employment,162,0,4,3,0,3,8,18,30,16,10,9,25,16,9,6,5
IFI Reform,148,14,29,11,4,16,22,8,5,4,2,4,14,7,4,2,2
Food and Agriculture,149,0,0,3,2,2,36,4,11,0,31,3,22,5,4,3,23
Crime and Corruption,127,3,0,2,3,9,5,7,20,1,4,7,26,5,13,14,8
International Taxation,97,2,3,2,0,2,3,3,21,9,2,8,31,10,5,3,1
ICT and Digitization,120,0,0,0,0,0,0,0,0,0,2,48,26,11,6,3,26
Climate Change,115,0,3,3,3,8,8,5,11,7,3,2,22,3,13,3,21
Health,124,0,0,0,0,0,0,0,0,33,2,3,19,4,14,14,35
Accountability,75,4,3,15,3,4,5,13,9,17,2,4,0,0,0,0,0
Environment,84,0,0,0,0,1,3,0,1,0,0,0,57,0,7,6,21
Gender,66,0,0,0,0,0,0,2,0,4,0,0,30,7,12,8,17
International Cooperation,48,0,0,3,0,2,12,3,12,0,0,7,9,0,0,1,0
Terrorism,47,0,0,0,0,0,0,0,1,0,12,3,24,3,5,0,0
Infrastructure,29,0,0,0,0,0,0,0,0,28,0,8,6,1,1,3,4
Migration and Refugees,17,0,0,0,0,0,0,0,0,0,4,3,16,1,0,1,2
Social Policy,14,0,1,1,2,1,3,1,0,0,3,1,2,0,0,0,4
Human Rights,13,,,,,,,,,,,,,4,5,4,0
Microeconomic Policy,5,0,0,0,0,0,0,0,1,6,0,3,0,0,0,0,0
Education,108,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,4
